编号,文件类型,分数,评语,
Ch1-1X-2,md,10.9,"1.1.2 -2
1.2.2 -2
1.5 -7
按/10给分",
Ch1-1X-3,latex,12,"excellent！
按/10给分",
Ch1-1X-4,latex,11.7,"1.8 4空情况有误 -2
1.10.2 最后计算没/2 -1 
按/10给分",
Ch1-1X-5,md,10.9,"1.10 -7 注意0都是相同的
1.11 -4 学生是不同的
按/10给分",
Ch1-1X-7,md,11.5,"1.1.1 -2 检查一下式子
1.8 -3 四盒情况有误 
按/10给分",
Ch1-1X-8,latex,11.6,"1.8 -4 还有一种情况
按/10给分",
Ch1-1X-9,latex,12,按/10给分,
Ch1-1X-10,latex,11.5,"1.5 是488895 -1 
1.8 -4 还有一种情况
按/10给分",
Ch1-1X-12,md,12,按/10给分,
Ch1-1X-13,md,12,按/10给分,
Ch1-1X-14,latex,11.4,"1.2.1 -2
1.5 -1 0没减
1.11 -3 f(n,m)没那么复杂，再看看
按/10给分",
